agent_0,agent_1,return
0.5,0.54,1184.0
0.555,0.5,1178.0
0.59,0.495,1166.0
0.485,0.595,1168.0
0.515,0.44,1218.0
0.535,0.57,1158.0
0.455,0.5,1218.0
0.565,0.505,1172.0
0.5,0.555,1178.0
0.5,0.47,1212.0
0.51,0.545,1178.0
0.535,0.465,1200.0
0.475,0.525,1200.0
0.5,0.54,1184.0
0.565,0.46,1190.0
0.505,0.485,1204.0
0.56,0.515,1170.0
0.555,0.505,1176.0
0.54,0.56,1160.0
0.525,0.5,1190.0
0.455,0.46,1234.0
0.49,0.53,1192.0
0.505,0.465,1212.0
0.485,0.525,1196.0
0.575,0.51,1166.0
0.54,0.59,1148.0
0.49,0.49,1208.0
0.53,0.46,1204.0
0.55,0.515,1174.0
0.555,0.52,1170.0
0.61,0.575,1126.0
0.555,0.57,1150.0
0.55,0.52,1172.0
0.55,0.54,1164.0
0.565,0.52,1166.0
0.525,0.595,1152.0
0.575,0.57,1142.0
0.57,0.54,1156.0
0.625,0.545,1132.0
0.59,0.62,1116.0
0.52,0.605,1150.0
0.495,0.57,1174.0
0.52,0.51,1188.0
0.575,0.57,1142.0
0.575,0.575,1140.0
0.585,0.535,1152.0
0.535,0.52,1178.0
0.565,0.575,1144.0
0.55,0.555,1158.0
0.53,0.56,1164.0
0.695,0.65,1062.0
0.625,0.73,1058.0
0.675,0.7,1050.0
0.67,0.705,1050.0
0.655,0.685,1064.0
0.63,0.655,1086.0
0.625,0.71,1066.0
0.655,0.64,1082.0
0.665,0.72,1046.0
0.64,0.65,1084.0
0.745,0.795,984.0
0.76,0.805,974.0
0.795,0.745,984.0
0.81,0.75,976.0
0.785,0.775,976.0
0.79,0.75,984.0
0.785,0.72,998.0
0.82,0.795,954.0
0.77,0.71,1008.0
0.805,0.77,970.0
0.76,0.81,972.0
0.765,0.765,988.0
0.735,0.775,996.0
0.72,0.755,1010.0
0.72,0.75,1012.0
0.72,0.715,1026.0
0.77,0.825,962.0
0.775,0.795,972.0
0.775,0.84,954.0
0.755,0.775,988.0
0.775,0.715,1004.0
0.79,0.81,960.0
0.73,0.79,992.0
0.775,0.795,972.0
0.795,0.715,996.0
0.83,0.74,972.0
0.76,0.78,984.0
0.775,0.785,976.0
0.775,0.755,988.0
0.79,0.73,992.0
0.77,0.785,978.0
0.755,0.865,952.0
0.82,0.805,950.0
0.8,0.835,946.0
0.78,0.8,968.0
0.81,0.815,950.0
0.79,0.815,958.0
0.79,0.805,962.0
0.79,0.79,968.0
0.765,0.775,984.0
0.81,0.775,966.0
0.78,0.78,976.0
0.785,0.775,976.0
0.76,0.765,990.0
0.79,0.79,968.0
0.77,0.79,976.0
0.73,0.77,1000.0
0.81,0.765,970.0
0.775,0.84,954.0
0.835,0.795,948.0
0.78,0.79,972.0
0.81,0.735,982.0
0.79,0.77,976.0
0.785,0.725,996.0
0.79,0.74,988.0
0.78,0.78,976.0
0.79,0.735,990.0
0.77,0.78,980.0
0.72,0.745,1014.0
0.755,0.72,1010.0
0.73,0.685,1034.0
0.75,0.735,1006.0
0.72,0.695,1034.0
0.695,0.72,1034.0
0.765,0.73,1002.0
0.695,0.675,1052.0
0.715,0.735,1020.0
0.71,0.735,1022.0
0.695,0.735,1028.0
0.755,0.71,1014.0
0.64,0.65,1084.0
0.585,0.625,1116.0
0.65,0.63,1088.0
0.69,0.68,1052.0
0.7,0.645,1062.0
0.665,0.64,1078.0
0.66,0.64,1080.0
0.615,0.68,1082.0
0.62,0.585,1118.0
0.655,0.695,1060.0
0.58,0.595,1130.0
0.64,0.655,1082.0
0.645,0.63,1090.0
0.68,0.64,1072.0
0.65,0.6,1100.0
0.63,0.64,1092.0
0.645,0.685,1068.0
0.64,0.615,1098.0
0.72,0.66,1048.0
0.705,0.61,1074.0
0.65,0.705,1058.0
0.715,0.685,1040.0
0.69,0.675,1054.0
0.67,0.675,1062.0
0.695,0.57,1094.0
0.635,0.66,1082.0
0.605,0.675,1088.0
0.65,0.7,1060.0
0.69,0.62,1076.0
0.66,0.65,1076.0
0.64,0.625,1094.0
0.635,0.64,1090.0
0.625,0.645,1092.0
0.645,0.66,1078.0
0.64,0.675,1074.0
0.63,0.59,1112.0
0.665,0.67,1066.0
0.63,0.63,1096.0
0.605,0.635,1104.0
0.595,0.61,1118.0
0.535,0.585,1152.0
0.53,0.575,1158.0
0.51,0.545,1178.0
0.545,0.62,1134.0
0.555,0.545,1160.0
0.58,0.55,1148.0
0.545,0.61,1138.0
0.595,0.55,1142.0
0.565,0.57,1146.0
0.53,0.565,1162.0
0.615,0.625,1104.0
0.6,0.595,1122.0
0.62,0.63,1100.0
0.665,0.63,1082.0
0.615,0.61,1110.0
0.625,0.57,1122.0
0.605,0.65,1098.0
0.61,0.575,1126.0
0.57,0.59,1136.0
0.63,0.605,1106.0
0.535,0.545,1168.0
0.615,0.55,1134.0
0.595,0.545,1144.0
0.575,0.59,1134.0
0.475,0.52,1202.0
0.64,0.505,1142.0
0.595,0.575,1132.0
0.55,0.585,1146.0
0.555,0.465,1192.0
0.645,0.565,1116.0
