agent_0,agent_1,agent_2,agent_3,agent_4,return
0.47,0.52,0.52,0.51,0.58,2960.0
0.49,0.525,0.485,0.495,0.515,2996.0
0.51,0.52,0.405,0.5,0.51,3022.0
0.515,0.48,0.45,0.47,0.53,3022.0
0.505,0.505,0.495,0.56,0.54,2957.9999999999995
0.445,0.515,0.5,0.515,0.5,3010.0
0.49,0.435,0.455,0.455,0.45,3086.0
0.49,0.515,0.505,0.52,0.54,2972.0
0.495,0.485,0.5,0.52,0.525,2990.0
0.485,0.495,0.54,0.505,0.51,2986.0
0.55,0.53,0.55,0.53,0.52,2927.9999999999995
0.51,0.48,0.53,0.475,0.535,2987.9999999999995
0.535,0.555,0.54,0.525,0.54,2922.0
0.545,0.58,0.535,0.5,0.535,2922.0
0.535,0.645,0.545,0.585,0.535,2862.0
0.495,0.585,0.565,0.505,0.525,2930.0
0.575,0.505,0.525,0.51,0.64,2897.9999999999995
0.455,0.58,0.555,0.53,0.545,2934.0
0.545,0.515,0.525,0.535,0.55,2932.0
0.51,0.54,0.555,0.52,0.515,2944.0
0.565,0.595,0.56,0.665,0.62,2797.9999999999995
0.63,0.605,0.63,0.55,0.655,2772.0
0.59,0.585,0.58,0.625,0.62,2800.0
0.58,0.615,0.59,0.665,0.61,2776.0
0.55,0.6,0.615,0.635,0.555,2817.9999999999995
0.62,0.605,0.6,0.62,0.635,2767.9999999999995
0.6,0.58,0.565,0.605,0.545,2842.0
0.595,0.585,0.59,0.58,0.665,2794.0
0.57,0.56,0.615,0.57,0.695,2796.0
0.595,0.6,0.59,0.615,0.635,2786.0
0.655,0.585,0.65,0.635,0.63,2737.9999999999995
0.605,0.675,0.595,0.64,0.625,2744.0
0.55,0.615,0.61,0.62,0.64,2786.0
0.635,0.6,0.6,0.66,0.625,2752.0
0.59,0.61,0.635,0.575,0.61,2792.0
0.555,0.675,0.58,0.59,0.62,2792.0
0.565,0.615,0.555,0.68,0.585,2800.0
0.625,0.69,0.56,0.62,0.535,2787.9999999999995
0.6,0.59,0.585,0.63,0.63,2786.0
0.6,0.585,0.655,0.625,0.585,2780.0
0.7,0.675,0.72,0.765,0.71,2572.0
0.73,0.765,0.635,0.76,0.71,2560.0
0.7,0.72,0.71,0.78,0.75,2536.0
0.69,0.69,0.76,0.735,0.745,2552.0
0.725,0.695,0.69,0.7,0.74,2580.0
0.695,0.775,0.7,0.73,0.675,2570.0
0.74,0.745,0.76,0.73,0.745,2512.0
0.735,0.68,0.7,0.825,0.78,2512.0
0.755,0.71,0.76,0.7,0.715,2544.0
0.73,0.705,0.76,0.725,0.67,2564.0
0.775,0.71,0.79,0.745,0.81,2468.0
0.765,0.795,0.7,0.79,0.73,2488.0
0.735,0.765,0.735,0.765,0.74,2504.0
0.755,0.79,0.715,0.745,0.765,2492.0
0.75,0.77,0.795,0.75,0.735,2479.9999999999995
0.79,0.76,0.735,0.755,0.73,2492.0
0.73,0.75,0.74,0.75,0.695,2534.0
0.735,0.73,0.765,0.735,0.725,2524.0
0.715,0.705,0.795,0.765,0.755,2506.0
0.805,0.745,0.765,0.75,0.76,2469.9999999999995
0.745,0.76,0.785,0.71,0.765,2494.0
0.755,0.72,0.775,0.715,0.745,2516.0
0.76,0.755,0.735,0.715,0.745,2516.0
0.75,0.735,0.745,0.72,0.735,2526.0
0.73,0.73,0.75,0.76,0.735,2518.0
0.7,0.715,0.8,0.735,0.72,2532.0
0.755,0.795,0.7,0.755,0.74,2502.0
0.715,0.75,0.735,0.755,0.78,2506.0
0.78,0.71,0.755,0.72,0.745,2516.0
0.695,0.72,0.74,0.67,0.75,2570.0
0.765,0.71,0.775,0.77,0.775,2482.0
0.765,0.745,0.73,0.77,0.745,2498.0
0.78,0.755,0.795,0.75,0.76,2464.0
0.78,0.75,0.775,0.72,0.79,2474.0
0.74,0.73,0.715,0.74,0.785,2516.0
0.785,0.79,0.765,0.805,0.705,2460.0
0.79,0.805,0.785,0.74,0.815,2426.0
0.815,0.745,0.74,0.745,0.77,2474.0
0.77,0.685,0.775,0.78,0.725,2506.0
0.77,0.76,0.75,0.745,0.715,2504.0
0.815,0.85,0.83,0.84,0.815,2340.0
0.855,0.82,0.82,0.825,0.755,2370.0
0.815,0.835,0.82,0.86,0.835,2334.0
0.865,0.82,0.82,0.8,0.855,2336.0
0.835,0.84,0.845,0.865,0.835,2312.0
0.87,0.835,0.825,0.805,0.78,2354.0
0.85,0.83,0.85,0.84,0.875,2302.0
0.81,0.845,0.84,0.85,0.885,2308.0
0.83,0.83,0.84,0.85,0.835,2326.0
0.83,0.84,0.835,0.815,0.84,2336.0
0.885,0.87,0.86,0.86,0.865,2264.0
0.9,0.885,0.885,0.845,0.875,2244.0
0.875,0.875,0.87,0.825,0.865,2276.0
0.89,0.88,0.85,0.89,0.865,2250.0
0.9,0.84,0.86,0.875,0.85,2270.0
0.89,0.88,0.85,0.865,0.87,2258.0
0.86,0.87,0.84,0.86,0.85,2288.0
0.89,0.865,0.86,0.9,0.875,2244.0
0.885,0.84,0.825,0.84,0.865,2298.0
0.87,0.865,0.85,0.88,0.865,2268.0
0.905,0.885,0.845,0.865,0.87,2252.0
0.89,0.89,0.855,0.88,0.875,2244.0
0.88,0.885,0.895,0.87,0.835,2254.0
0.855,0.845,0.875,0.865,0.85,2284.0
0.88,0.915,0.855,0.865,0.855,2252.0
0.895,0.85,0.905,0.88,0.855,2246.0
0.88,0.865,0.855,0.84,0.865,2278.0
0.885,0.855,0.91,0.865,0.885,2240.0
0.865,0.845,0.91,0.855,0.865,2264.0
0.885,0.885,0.895,0.85,0.85,2254.0
0.875,0.895,0.88,0.895,0.92,2214.0
0.875,0.87,0.915,0.905,0.915,2208.0
0.88,0.855,0.88,0.91,0.92,2222.0
0.935,0.86,0.845,0.89,0.905,2226.0
0.84,0.895,0.855,0.84,0.92,2260.0
0.935,0.865,0.885,0.89,0.865,2224.0
