agent_0,agent_1,agent_2,agent_3,agent_4,return
0.875,0.89,0.915,0.85,0.875,2238.0
0.915,0.905,0.905,0.865,0.87,2216.0
0.88,0.905,0.895,0.87,0.91,2216.0
0.9,0.86,0.91,0.88,0.875,2230.0
0.865,0.875,0.905,0.895,0.9,2224.0
0.905,0.88,0.87,0.89,0.9,2222.0
0.88,0.86,0.9,0.935,0.885,2216.0
0.92,0.885,0.895,0.925,0.9,2190.0
0.935,0.935,0.89,0.875,0.9,2186.0
0.885,0.9,0.91,0.885,0.905,2206.0
0.87,0.89,0.91,0.9,0.86,2228.0
0.86,0.9,0.93,0.88,0.915,2206.0
0.875,0.925,0.885,0.895,0.84,2232.0
0.88,0.87,0.9,0.935,0.935,2192.0
0.915,0.955,0.94,0.95,0.915,2130.0
0.95,0.92,0.93,0.9,0.925,2150.0
0.95,0.91,0.96,0.945,0.955,2112.0
0.94,0.93,0.925,0.885,0.93,2156.0
0.945,0.925,0.925,0.925,0.915,2146.0
0.935,0.905,0.925,0.925,0.95,2144.0
0.91,0.895,0.935,0.955,0.905,2160.0
0.935,0.925,0.915,0.95,0.905,2148.0
0.93,0.945,0.95,0.91,0.945,2128.0
0.965,0.925,0.925,0.91,0.915,2144.0
0.95,0.93,0.95,0.915,0.925,2132.0
0.94,0.91,0.915,0.9,0.93,2162.0
0.93,0.925,0.885,0.9,0.92,2176.0
0.9,0.945,0.93,0.91,0.905,2164.0
0.94,0.935,0.915,0.94,0.93,2136.0
0.925,0.91,0.945,0.915,0.925,2152.0
0.895,0.915,0.925,0.92,0.93,2166.0
0.9,0.925,0.93,0.91,0.925,2164.0
0.925,0.92,0.89,0.885,0.905,2190.0
0.93,0.92,0.96,0.915,0.92,2142.0
0.95,0.905,0.91,0.915,0.89,2172.0
0.945,0.935,0.9,0.925,0.915,2152.0
0.93,0.91,0.88,0.925,0.93,2170.0
0.92,0.96,0.89,0.895,0.925,2164.0
0.95,0.9,0.905,0.94,0.92,2154.0
0.91,0.935,0.935,0.915,0.93,2150.0
0.91,0.91,0.9,0.92,0.88,2192.0
0.89,0.89,0.935,0.89,0.935,2184.0
0.855,0.905,0.9,0.915,0.925,2200.0
0.895,0.91,0.91,0.9,0.915,2188.0
0.895,0.9,0.885,0.885,0.855,2232.0
0.91,0.895,0.865,0.87,0.89,2228.0
0.915,0.88,0.87,0.905,0.92,2204.0
0.885,0.885,0.865,0.875,0.88,2244.0
0.915,0.85,0.91,0.9,0.895,2212.0
0.885,0.895,0.885,0.885,0.925,2210.0
0.92,0.905,0.89,0.855,0.9,2212.0
0.87,0.915,0.895,0.91,0.94,2188.0
0.92,0.865,0.89,0.895,0.9,2212.0
0.855,0.88,0.88,0.89,0.92,2230.0
0.84,0.865,0.885,0.895,0.87,2258.0
0.88,0.865,0.885,0.865,0.915,2236.0
0.855,0.885,0.88,0.87,0.84,2268.0
0.855,0.89,0.885,0.85,0.885,2254.0
0.875,0.88,0.91,0.815,0.875,2258.0
0.895,0.84,0.88,0.885,0.845,2262.0
0.885,0.86,0.845,0.905,0.825,2272.0
0.865,0.86,0.875,0.88,0.86,2264.0
0.89,0.895,0.9,0.85,0.825,2256.0
0.825,0.875,0.885,0.86,0.855,2280.0
0.845,0.895,0.81,0.855,0.89,2282.0
0.875,0.87,0.835,0.875,0.815,2292.0
0.86,0.88,0.865,0.865,0.875,2262.0
0.805,0.875,0.84,0.89,0.85,2296.0
0.855,0.84,0.88,0.875,0.875,2270.0
0.85,0.85,0.835,0.88,0.865,2288.0
0.84,0.875,0.875,0.875,0.87,2266.0
0.81,0.825,0.855,0.85,0.845,2326.0
0.845,0.905,0.895,0.84,0.88,2254.0
0.84,0.84,0.835,0.83,0.87,2314.0
0.805,0.83,0.845,0.79,0.875,2342.0
0.805,0.785,0.8,0.83,0.865,2366.0
0.81,0.85,0.82,0.845,0.865,2324.0
0.825,0.88,0.84,0.86,0.825,2308.0
0.83,0.855,0.85,0.88,0.825,2304.0
0.83,0.855,0.845,0.835,0.875,2304.0
0.875,0.885,0.835,0.855,0.84,2284.0
0.855,0.815,0.835,0.85,0.835,2324.0
0.825,0.83,0.865,0.83,0.85,2320.0
0.8,0.865,0.89,0.87,0.88,2278.0
