agent_0,agent_1,agent_2,agent_3,agent_4,return
0.525,0.455,0.515,0.405,0.53,2514.0
0.5,0.46,0.515,0.48,0.5,2509.0
0.45,0.555,0.42,0.555,0.48,2508.0
0.53,0.49,0.51,0.44,0.55,2496.0
0.535,0.55,0.54,0.53,0.525,2464.0
0.505,0.51,0.5,0.49,0.485,2502.0
0.52,0.585,0.495,0.51,0.525,2473.0
0.52,0.46,0.47,0.51,0.55,2498.0
0.515,0.53,0.53,0.55,0.49,2477.0
0.465,0.485,0.55,0.515,0.515,2494.0
0.565,0.565,0.57,0.57,0.54,2438.0
0.515,0.535,0.525,0.615,0.495,2463.0
0.49,0.6,0.525,0.525,0.545,2463.0
0.63,0.555,0.535,0.53,0.555,2439.0
0.53,0.545,0.495,0.525,0.525,2476.0
0.545,0.545,0.58,0.48,0.505,2469.0
0.53,0.54,0.595,0.535,0.565,2447.0
0.55,0.54,0.52,0.61,0.53,2450.0
0.56,0.515,0.6,0.54,0.545,2448.0
0.485,0.54,0.525,0.585,0.505,2472.0
0.535,0.575,0.54,0.6,0.595,2431.0
0.605,0.5,0.585,0.595,0.56,2431.0
0.545,0.535,0.55,0.55,0.515,2461.0
0.59,0.53,0.59,0.6,0.545,2429.0
0.535,0.525,0.585,0.53,0.615,2442.0
0.52,0.555,0.59,0.525,0.485,2465.0
0.565,0.545,0.54,0.53,0.63,2438.0
0.555,0.56,0.535,0.53,0.505,2463.0
0.63,0.575,0.475,0.56,0.54,2444.0
0.535,0.57,0.56,0.525,0.56,2450.0
0.675,0.615,0.655,0.64,0.65,2353.0
0.61,0.65,0.63,0.61,0.615,2377.0
0.62,0.615,0.645,0.615,0.585,2384.0
0.61,0.665,0.6,0.665,0.6,2372.0
0.675,0.645,0.665,0.63,0.635,2350.0
0.59,0.605,0.63,0.6,0.675,2380.0
0.605,0.625,0.67,0.61,0.69,2360.0
0.65,0.655,0.625,0.6,0.67,2360.0
0.67,0.565,0.66,0.63,0.635,2368.0
0.705,0.595,0.675,0.645,0.71,2334.0
0.64,0.645,0.65,0.675,0.625,2353.0
0.695,0.655,0.64,0.61,0.69,2342.0
0.67,0.65,0.64,0.66,0.67,2342.0
0.625,0.69,0.59,0.685,0.57,2368.0
0.665,0.65,0.63,0.605,0.64,2362.0
0.695,0.575,0.675,0.665,0.685,2341.0
0.625,0.6,0.655,0.685,0.61,2365.0
0.6,0.64,0.7,0.625,0.66,2355.0
0.7,0.68,0.62,0.605,0.64,2351.0
0.64,0.695,0.62,0.69,0.665,2338.0
0.73,0.74,0.755,0.75,0.78,2249.0
0.72,0.73,0.71,0.715,0.72,2281.0
0.725,0.765,0.71,0.81,0.74,2250.0
0.705,0.7,0.79,0.77,0.785,2250.0
0.745,0.705,0.685,0.765,0.725,2275.0
0.715,0.78,0.67,0.715,0.665,2291.0
0.72,0.715,0.74,0.75,0.795,2256.0
0.725,0.755,0.745,0.71,0.775,2258.0
0.705,0.765,0.72,0.75,0.745,2263.0
0.75,0.735,0.71,0.765,0.745,2259.0
0.77,0.725,0.68,0.695,0.7,2286.0
0.74,0.72,0.675,0.71,0.69,2293.0
0.755,0.7,0.765,0.745,0.675,2272.0
0.72,0.69,0.695,0.745,0.73,2284.0
0.715,0.7,0.735,0.75,0.765,2267.0
0.69,0.76,0.68,0.73,0.71,2286.0
0.735,0.695,0.695,0.685,0.74,2290.0
0.685,0.745,0.75,0.745,0.72,2271.0
0.7,0.665,0.72,0.79,0.7,2285.0
0.705,0.75,0.74,0.71,0.775,2264.0
0.81,0.77,0.735,0.755,0.76,2234.0
0.79,0.705,0.735,0.705,0.735,2266.0
0.785,0.68,0.77,0.765,0.755,2249.0
0.74,0.775,0.75,0.77,0.725,2248.0
0.78,0.71,0.73,0.745,0.77,2253.0
0.775,0.73,0.8,0.73,0.765,2240.0
0.765,0.79,0.77,0.785,0.8,2218.0
0.65,0.74,0.76,0.775,0.725,2270.0
0.78,0.75,0.68,0.735,0.735,2264.0
0.745,0.735,0.735,0.75,0.73,2261.0
0.8,0.755,0.7,0.75,0.74,2251.0
0.76,0.785,0.74,0.74,0.73,2249.0
0.815,0.775,0.795,0.755,0.745,2223.0
0.715,0.71,0.76,0.73,0.71,2275.0
0.75,0.76,0.76,0.75,0.815,2233.0
0.75,0.735,0.725,0.79,0.76,2248.0
0.765,0.735,0.8,0.77,0.8,2226.0
0.815,0.725,0.79,0.76,0.75,2232.0
0.77,0.755,0.76,0.77,0.725,2244.0
0.74,0.81,0.685,0.72,0.75,2259.0
0.835,0.79,0.8,0.805,0.775,2199.0
0.83,0.75,0.8,0.835,0.8,2197.0
0.8,0.755,0.84,0.755,0.79,2212.0
0.79,0.795,0.76,0.825,0.745,2217.0
0.78,0.815,0.815,0.775,0.805,2202.0
0.785,0.78,0.795,0.755,0.79,2219.0
0.805,0.82,0.78,0.785,0.805,2201.0
0.845,0.815,0.825,0.8,0.825,2178.0
0.8,0.78,0.775,0.775,0.83,2208.0
0.81,0.755,0.735,0.825,0.81,2213.0
0.815,0.785,0.76,0.77,0.815,2211.0
0.77,0.8,0.785,0.82,0.84,2197.0
0.775,0.795,0.795,0.8,0.845,2198.0
0.765,0.8,0.81,0.77,0.81,2209.0
0.8,0.735,0.845,0.775,0.78,2213.0
0.78,0.8,0.79,0.775,0.82,2207.0
0.815,0.835,0.755,0.81,0.775,2202.0
0.745,0.795,0.8,0.84,0.795,2205.0
0.81,0.73,0.77,0.775,0.81,2221.0
0.83,0.78,0.78,0.805,0.815,2198.0
0.875,0.84,0.88,0.88,0.85,2135.0000000000005
0.885,0.845,0.825,0.835,0.865,2149.0
0.84,0.9,0.845,0.84,0.85,2145.0
0.85,0.82,0.87,0.84,0.835,2157.0
0.875,0.84,0.855,0.845,0.855,2146.0
0.855,0.875,0.86,0.845,0.875,2138.0
0.86,0.835,0.89,0.88,0.84,2139.0
0.86,0.855,0.83,0.845,0.83,2156.0
0.86,0.85,0.855,0.845,0.87,2144.0
0.825,0.845,0.84,0.84,0.83,2164.0
0.845,0.82,0.855,0.84,0.84,2160.0
0.815,0.78,0.84,0.77,0.765,2206.0
0.78,0.845,0.83,0.84,0.83,2175.0
0.79,0.83,0.82,0.82,0.77,2194.0
0.82,0.8,0.82,0.795,0.82,2189.0
0.805,0.83,0.85,0.83,0.83,2171.0
0.835,0.81,0.795,0.85,0.785,2185.0
0.875,0.775,0.795,0.79,0.835,2186.0
0.8,0.8,0.81,0.83,0.77,2198.0
0.82,0.8,0.835,0.835,0.79,2184.0
0.805,0.875,0.83,0.795,0.8,2179.0
0.81,0.76,0.825,0.83,0.815,2192.0
0.835,0.765,0.855,0.785,0.83,2186.0
0.795,0.78,0.815,0.785,0.84,2197.0
0.82,0.79,0.84,0.835,0.805,2182.0
0.82,0.83,0.825,0.815,0.81,2180.0
0.805,0.835,0.825,0.85,0.815,2174.0
0.83,0.825,0.79,0.775,0.81,2194.0
0.805,0.84,0.83,0.78,0.84,2181.0
0.815,0.825,0.835,0.805,0.815,2181.0
0.84,0.795,0.825,0.78,0.87,2178.0
0.855,0.82,0.84,0.82,0.865,2160.0
0.83,0.875,0.865,0.825,0.79,2163.0
0.83,0.785,0.87,0.87,0.84,2161.0
0.83,0.85,0.82,0.85,0.8,2170.0
0.83,0.84,0.845,0.835,0.875,2155.0000000000005
0.79,0.855,0.825,0.845,0.82,2173.0
0.83,0.835,0.88,0.85,0.82,2157.0
0.84,0.84,0.81,0.8,0.86,2170.0
0.84,0.875,0.83,0.85,0.81,2159.0
0.81,0.77,0.765,0.8,0.785,2214.0
0.81,0.795,0.87,0.795,0.775,2191.0
0.745,0.795,0.81,0.84,0.82,2198.0
0.84,0.79,0.77,0.77,0.85,2196.0
0.79,0.825,0.765,0.77,0.855,2199.0
0.82,0.815,0.79,0.815,0.81,2190.0
0.825,0.775,0.785,0.785,0.765,2213.0
0.805,0.82,0.79,0.76,0.81,2203.0
0.775,0.78,0.77,0.82,0.765,2218.0
0.825,0.775,0.8,0.8,0.745,2211.0
0.85,0.845,0.82,0.83,0.82,2167.0
0.845,0.86,0.865,0.84,0.815,2155.0
0.835,0.83,0.83,0.83,0.835,2168.0
0.89,0.865,0.84,0.845,0.875,2137.0
0.885,0.825,0.84,0.83,0.825,2159.0
0.77,0.815,0.835,0.83,0.83,2184.0
0.815,0.83,0.9,0.805,0.855,2159.0
0.845,0.825,0.83,0.815,0.86,2165.0
0.885,0.775,0.81,0.85,0.83,2170.0
0.825,0.815,0.815,0.825,0.885,2167.0
0.865,0.85,0.865,0.825,0.85,2149.0
0.84,0.775,0.855,0.785,0.855,2178.0
0.815,0.83,0.815,0.855,0.88,2161.0
0.855,0.85,0.88,0.835,0.84,2148.0
0.81,0.85,0.825,0.865,0.84,2162.0
0.885,0.805,0.85,0.87,0.86,2146.0
0.84,0.845,0.825,0.815,0.845,2166.0
0.815,0.835,0.845,0.8,0.815,2178.0
0.825,0.775,0.83,0.815,0.85,2181.0
0.82,0.82,0.81,0.85,0.845,2171.0
0.8,0.805,0.85,0.845,0.87,2166.0
0.825,0.85,0.745,0.86,0.825,2179.0
0.83,0.835,0.855,0.83,0.82,2166.0
0.88,0.83,0.81,0.79,0.85,2168.0
0.865,0.835,0.8,0.84,0.84,2164.0
0.83,0.815,0.82,0.85,0.825,2172.0
0.81,0.85,0.835,0.86,0.805,2168.0
0.845,0.835,0.795,0.84,0.795,2178.0
0.825,0.855,0.835,0.8,0.79,2179.0
0.825,0.805,0.845,0.805,0.765,2191.0
0.82,0.895,0.83,0.905,0.875,2135.0
0.81,0.895,0.865,0.815,0.8,2163.0
0.825,0.875,0.87,0.87,0.88,2136.0
0.86,0.825,0.84,0.885,0.84,2150.0
0.885,0.865,0.86,0.89,0.825,2135.0000000000005
0.835,0.85,0.845,0.87,0.84,2152.0
0.81,0.91,0.85,0.825,0.86,2149.0
0.835,0.805,0.88,0.825,0.835,2164.0
0.86,0.845,0.85,0.865,0.85,2146.0
0.855,0.875,0.865,0.88,0.84,2137.0
